ID,comments
김해코스트코,"비정상인 먹을텐데, 마녀사냥 미디어 노출 많이되고 인기많아서 그런거지오히려 장이 결혼하고 음악만하면서 조용히살고"
강팀안티팬,[Felix] 보컬실력으로만보면 압도적으로 성시경인데 가수로보면 장범준
앙기모띠주는,[Felix] 체급은 차이가 많이나긴 하네요
BEST 라울과알레,솔직히 아까 성시경이 많아서 놀랬음장범준이 그렇게 저평가될 가수는 아닌데 ㅋㅋㅋ
influxDB,에펨트리 발라드 GOAT은 개인적으로 신승훈 아닐까 싶음
니나니노,influxDB 이승철
cvMax,니나니노 신승훈임
하나만더,cvMax 발라드는 닥 신승훈이지신승훈 90년대 초중반 서태지와아이들 듀스 룰라 이런 레전드 댄스 그룹들이랑 비비면서 가요톱텐 골든컵 먹었던 사람인데
Kendrick,influxDB 발라드는 유재하...
싸우면혼난다,"Kendrick 유재하,김광석 이분들을 직접 경험한 세대가 아니라 모르지만 논외의 느낌을 주는 발라더? 작곡가들 같음"
크래프톤가자잇,influxDB 30살인데 신승훈 노래 많이 모름... 나보다 나이 적으면 더 심할건데 GOAT는 좀
내장지방,눈군 변진섭 90년인가 89년에 공식집계만 280만장 팔았음그냥 기록이 워낙 개쩔어서 발라드계 최고의 고점이 변진섭이란 건 누구도 부정 못함 신승훈은 100만장 쑥쑥 팔리던 시대에 그렇게 팔던 거고 변진섭은 혼자서 갑자기 튀어나와서 그렇게 팔았던 거임80년대 후반 주현미가 최고의 가수다 가요계 여왕이다 할 때 주현미 공식판매량이 절대 100만장 안 됐음 싸구려 리어카까지 다 동원해서 몇백만장 팔았을 것이다 그리고 그만큼 전국민적인 인기가 최고였다는 건데 변진섭은 공식으로만 그 때 280만장 때려박은 건 말이 안 되는 기록임
오펜하이머무새,눈군 sbs아카이브k 발라드편에서발라더 계보쫙나열하고 소개한 프로그램 있었음그거봐서 다들그런듯
오펜하이머무새,눈군 유튜브에 발라더계보 만쳐도영상이~다른글에선 이민우댓글까지 있었음...
