comment
그놈의 vs질 참 지겹다왕석현100명vs뱅갈호랑이1마리
구름위로 이건 석현이 의견도 들어봐야..
구름위로 김성찬150명 vs 왕석현100명
2000년생 이상 급식은 장범준90년대생이하는 성시경 나올듯
비정상인 반대임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ00년생은 성시경 80년생은 장범준인 분위기였음ㅋㅋㅋㅋㅋㅋㅋㅋ
비정상인 성시경 전성기를 모르니까 풍문으로 들은 애들이 더 고평가엠팍은 나이대가 높아서 직접 봤기 때문에 더 냉정하게 평가하는 경향이 있는 듯 엠팍은 장범준이 이기고펨코는 성시경이 이김
래드키 이게맞다
래드키 이말이맞음 성시경이 00년대 goat 은 아니자너
"델카이저 근데 장범준이 20년대 goat도 아니잖아 ;가창력은 성시경이 우위고,히트곡은 장범준이 우위고..근데 또 20년간 술담배 다 하면서 길게 활동하는거보면 성시경이 더 나은 가수같지만,그 많은 임팩트있는 곡을 썼다는걸 생각하면 또 장범준.."
원베일리 상업성 고려하면 장범준이 맞겠네.
저교치기 GOAT는 한명이 맞음. 애초에 개념자체가 한명임.
저교치기 그레이트 오부 올 타임인데요 ㅋㅋ
쵹쵹한쵹코췹 맞말이긴 한데 잘못 달기도 했다goat를 00년대 10년대 ㅇㅈㄹ하는 건 개웃기긴 하지만 처음 쓴 애한테 다는 게 좀 더 맞겠지
원베일리 장범준은 20년대가 아니라 10년대지어떻게 장범준 커리어 얘기하는데 20년대를 끌고옴...
원베일리 ? 장범준은 10년대에 껴야지 ㅋㅋ.벚꽃엔딩은 10년대 대한민국에서 가장 히트곡이라고 할 수있는데
래드키 니가 맞음.  성시경은 고트급인 발라더들은 거론할 것도 없고 김종국도 못이김.
래드키 이승철 vs 임창정에서는본인들이 못 봤다고 내려치는게 엠팍인데ㅋㅋㅋㅋ
노하라히로시 그거 보고 진짜 병신들인가 함.
래드키 약간 박지성 맨유시절 안봐서 오히려 고평가되는느낌이네ㅋㅋ
기마성호무란 박지성은 맨유시절 스탯이 구려서 저평가 되는듯
기마성호무란 안봐서 저평가하지않냐 기록만보고. 국대성이랑 챔스에서 가끔나올때 임팩트지렷는데
기마성호무란 뭔 반대로 얘기하고 있냐 얘는 ㅋㅋㅋㅋㅋ저평가겠지
"기마성호무란 ??? 오히려 저평가지 말년 부상 도져서 벤치 달군걸로 벤치성 ,버기성 ㅇㅈㄹ하는곳인데"
싸우면혼난다 벤치성 버기성한다고 저평가임?그시절에도 벤치성 자빠지성 별거 다 했었음
래드키 걍 감스트 제너럴90 같은거임
래드키 나이대 좀 있는 사람들한테 성시경은 음악성이나 가창력보다는 여자들한테 유독 인기 많은 가수 정도로 기억될 가능성이 있지솔직히 그 시절에 날고긴다하는 발라더들 시경이 형말고도 수두룩 빽빽이라ㅋㅋㅋㅋㅋ그리고 오히려 장범준이 약간 독보적인 부분이 있어서 나름 고평가 가능함
래드키 막말로 성시경 대표곡 뭐냐고 물어보면 모르는 애들이 태반일 듯. 89년생 내 기준으로도 장범준이 앞선다고 봄
