ID,comments
노하라히로시,화이트보드 벚꽃엔딩이 시대 제패한건 인정하는데 장범준이 시대를 제패한 아티스트라는건 굉장히 의문이 드네요1집 이후 텀도 긴편이고 솔로 시절도 거리 멀고2집도 시대 제패와는 거리 멀고
노하라히로시,화이트보드 기쓰고 내려치는게 아니라장범준이 시대 제패했다는거 의문표하는게내려치는거임? 나 말고도 의문 드는 사람 많을텐데조성모도 시대 제패했다고 하면 반발 은근 나올텐데. 버스커버스커 시절 2012년 차트 제패한건 인정하고나 버스커버스커 엄청 좋아했었음
노하라히로시,래드키 조성모보다 임팩트 아래인건 팩트가 맞는데요진짜로 밀너 vs 그리즈만이 맞는 비교라 보시나요장범준은 조성모 전성기 이름값 반에 반도 못 따라갈텐데
노하라히로시,래드키 아니 걍 일에서 열까지 할말이 너무 많은 예시네요단순 롱런으로 치환할게 둘의 비교가 아닌데장범준이 그리즈만처럼 수년간 인간계 최강급 활약을 본인의 이름값 자체로 해낸 것도 아니고
우마무스메,발라드원탑은 다른가수인데 장범준은 걍 장르가 장범준이라 독보적임
쓱싹,장범준은 작곡도 하잖아
감자국틀니,그럼 조용필 나훈아도 최근 히트곡 없으니 장범준 승이라고 하지 왜ㅋㅋ
성게전복죽,둘 다 좋긴한데 니들 장범준 노래 지금까지 듣는거 있음??
김해코스트코,"성게전복죽 벚꽃엔딩은 대표적인 연금곡이고 최근 흔꽃샴, 잠이오질않네요 같은 히트곡 계속 내고있는데"
튀르키예,장범준이 위지
원할머니암바걸기,장범준은 그냥 가요계에서도 손 꼽히는 역대급 히트친 명곡 뽑아낸 가수 아닌가 ㅋㅋ 단순히 한해만 해먹은게 아니라 당대 최고 메가히트곡 작사 작곡한 가순데 ㅋㅋ
곧발롱위너비닐신,원할머니암바걸기 10년대 연대차트 1위 벚꽃엔딩 ㅋㅋ
원할머니암바걸기,곧발롱위너비닐신 단순 명곡이 아니라 아예 한국에서 봄 하면 떠오르는 노래가 벚꽃엔딩인데 ㅋㅋ 앞으로도 계속 그럴거라는게 더 대단한듯
노하라히로시,김해코스트코 버스커버스커=장범준 이름값은 아니잖아원툴 밴드였던건 팩트일지언정
김해코스트코,노하라히로시 벜벜이 애초에 나머지 둘이 들러리였고 장범준 원툴 그룹이었음슈스케 이후 인기 ㅈㄴ 많은데다 1집 대박까지 나서 그런거지
노하라히로시,김해코스트코 그건 나도 앎 근데 이름값이 치환될 수가 있냐고대중들은 장범준 이름 석자도 모르는 경우 많음
튀르키예,래드키 장범준을 레반에 빗댄거임
튀르키예,디레스터 장범준을 레반에 빗댄거임
로제박은빈카리나,khanhyo 니가 듣기에는 명곡일지 모르지만대중적으로 히트했냐고 물어보면 글쎄임..장범준은 벚꽃 엔딩 이후로도 솔직히 낼 때 마다 히트했음. 그냥 스트리밍 기록이 입증함물론 누구를 더 좋아하냐는 취향 차이긴 함
